realm_record_id,operator_name,address,phone,email,digital_contact_type,website,carrier_type,equipment_and_services,operating_regions,pos_matching_fit,country,verification_status,confidence,source_urls,research_subject
RCN-AU-0042,Pacific National,"2-4 Blue Street North Sydney, NSW 2060",1800 966 088,PN_Communications@pacificnational.com.au,public email,https://pacificnational.com.au,"rail freight, containerised freight, bulk freight, coal freight","containerised freight, bulk freight (grain, sugar, construction materials, minerals, waste), coal freight",Australia wide,Suitable for point-of-sale load matching due to diverse freight services and Australia-wide network.,Australia,verified from official/trusted sources,High,https://pacificnational.com.au;https://pacificnational.com.au/landing/contact-us,Pacific National rail freight Australia https://pacificnational.com.au
RCN-AU-0043,Qube Logistics Australia,"Level 27, 45 Clarence Street, Sydney, NSW, 2000",+61 2 9080 1900,contact form,contact form,https://qube.com.au,"Road freight, Rail freight, Sea freight, Logistics, Freight forwarding","Agri-logistics, AQIS services, Automotive logistics, Bulk cargo handling, Container services, Government logistics, Heavy lift, Procurement, Energy logistics, Forestry logistics, Global logistics, Renewables logistics, Rail services, Stevedoring, Port operations, Infrastructure, Terminal operations","Australia wide, New Zealand, South East Asia","Qube Logistics Australia offers a comprehensive range of integrated logistics services including road, rail, and sea freight, bulk, container, and heavy lift capabilities, making them highly suitable for point-of-sale load matching across various locations, capacities, and equipment types.",Australia,verified from official/trusted sources,High,https://qube.com.au;https://qube.com.au/contact/;https://qube.com.au/services/,Qube Logistics Australia https://qube.com.au
RCN-AU-0044,Rocke Brothers Transport Australia,"Lot 2, 29 Alick Road, Brooklyn, Victoria 3012",(03) 9314 6211,contact form,contact form,https://www.rockebros.com.au,"Road freight, waterfront transport, container depot, warehousing","Road transport, container handling, quarantine unpack services, container fumigation, warehousing","Victoria, New South Wales, Queensland, Eastern seaboard of Australia","Suitable for point-of-sale load matching by location, capacity, and equipment type due to their diverse services and broad operating regions.",Australia,verified from official/trusted sources,High,https://www.rockebros.com.au;https://www.rockebros.com.au/contact-us/;https://www.rockebros.com.au/history/,Rocke Brothers Transport Australia https://www.rockebros.com.au
RCN-AU-0045,Rodinia Freight Services,"L1/366 Sydney Road, Coburg VIC 3058 Australia",+61 3 9125 1705,contact@rodiniafreight.com,public email,https://www.rodiniafreight.com,"Air Freight, Sea Freight, Road Freight, Rail Freight, Coastal Shipping, Freight Forwarding, Project Logistics, Customs Clearance, Dangerous Goods Transport","Air Freight, Sea Freight, Road Transport, Rail Transport, Customs Brokerage, Project Cargo, Heavy Lift Cargo, Oversized Cargo, Dangerous Goods Transport, Coastal Shipping, Biosecurity Clearance","Australia wide, International","Rodinia Freight Australia offers a comprehensive range of services including air, sea, road, and rail freight, project logistics, and dangerous goods transport, making them suitable for in-line quote matching by location, capacity, and equipment type.",Australia,verified from official/trusted sources,High,https://www.rodiniafreight.com,Rodinia Freight Australia https://www.rodiniafreight.com
RCN-AU-0046,Rogers Group,"45 Radar Street, Lytton, QLD 4178",07 3275 3664,hello@rogerstransport.com.au,public email,https://rogerstransport.com.au,"road freight, warehousing, logistics","Line haul, Containers, Contracting, Distribution, Container Transport, Side Loading, Refrigeration, Break Bulk, Port Compliance, Storage, Unpacks, 3PL, Specialised Goods, dangerous goods handling, in-house maintenance, mass management accreditation, integrated freight system","Australia wide, Brisbane","Rogers Group offers integrated transport, warehousing, and supply chain solutions with a national fleet and specialized freight services, making them suitable for point-of-sale load matching by location, capacity, and equipment type.",Australia,verified from official/trusted sources,High,https://rogerstransport.com.au,Rogers Transport Brisbane https://rogerstransport.com.au
RCN-AU-0047,Ron Finemore Transport,"184-186 Sangsters Road, Wodonga VIC 3690",(02) 6024 9900,contact form,contact form,https://www.ronfinemoretransport.com.au,"road freight, bulk liquids, cold chain","temperature-controlled fleet, modern fleet, DSS, lane assist, adaptive cruise, auto braking","Victoria, New South Wales, Queensland, Australia wide",Good fit for in-line quote matching due to multiple regional hubs and diverse freight capabilities.,Australia,verified from official/trusted sources,High,https://www.ronfinemoretransport.com.au;https://ronfinemoretransport.com.au/contact-us,Ron Finemore Transport Australia https://www.ronfinemoretransport.com.au
RCN-AU-0048,SCT Logistics Australia,"7 Westlink Court, Altona VIC 3018",(03) 9931 5333,Feedback@sctlogistics.com.au,public email,https://www.sctlogistics.com.au,"road freight, rail freight, dry freight, refrigerated, bulk freight","rail freight, port logistics, contract rail solutions, industrial property development",Australia wide,"SCT Logistics Australia appears suitable for point-of-sale load matching due to its extensive rail and road network, diverse freight capabilities (dry, refrigerated, bulk), and national coverage across major capital cities and regional locations.",Australia,verified from official/trusted sources,High,https://www.sctlogistics.com.au;https://www.sctlogistics.com.au/locations/;https://www.sctlogistics.com.au/services/,SCT Logistics Australia https://www.sctlogistics.com.au
RCN-AU-0049,Seabridge Logistics Group Australia,"Unit 1, 120 Fison Avenue West, Eagle Farm QLD 4009, Australia",+61 7 3860 8100,contact form,contact form,https://www.seabridge.com.au,"air freight, sea freight, freight forwarding, customs brokerage","air freight, sea freight, logistics solutions, customs brokerage",Australia wide,"Seabridge Logistics Group Australia appears suitable for point-of-sale load matching due to its comprehensive air and sea freight services, logistics solutions, customs brokerage, and national coverage across Australia.",Australia,verified from official/trusted sources,High,https://www.seabridge.com.au;https://www.seabridge.com.au/contact-us/,Seabridge Logistics Group Australia https://www.seabridge.com.au
RCN-AU-0050,South Australian Trucking Company,U2/31 Sunbeam Rd Glynde South Australia 5070,(08) 8165 2933,sales@satrucks.com.au,public email,https://www.satrucks.com.au,"road freight, courier, furniture removals, crane trucks, warehousing, logistics","Taxi Trucks, Furniture Removals, Piano Removals, Tailgate Trucks, Crane Trucks, Courier services, 1-10 tonne trucks, flatbed trucks, tautliners, warehousing facilities","Adelaide metropolitan areas, South Australia",Good fit for local Adelaide load matching due to diverse truck types and warehousing capabilities.,Australia,verified from official/trusted sources,High,https://www.satrucks.com.au,South Australian Trucking Company https://www.satrucks.com.au
RCN-AU-0051,StarTrack,480 Swan St Richmond VIC 3121,13 23 45,customer.satisfaction@startrack.com.au,public email,https://startrack.com.au,"road freight, air freight, courier, logistics, express freight","same-day delivery, next-day delivery, express road freight, specialty freight, stock distribution, multi and single item consignments, scheduled and ad-hoc pickups, time critical deliveries, tailgate 2-person lift, controlled returns, 17,000+ vehicles, 1,000+ daily national flights",Australia wide,"StarTrack is highly suitable for point-of-sale load matching due to its Australia-wide coverage, diverse freight services including express and specialty options, and extensive fleet and flight network.",Australia,verified from official/trusted sources,High,https://startrack.com.au/;https://www.directory.gov.au/portfolios/infrastructure-transport-regional-development-communications-and-arts/australian-postal-corporation/star-track-express-pty-limited;https://www.ajust.com.au/complaints/startrack,StarTrack Australia freight https://startrack.com.au
RCN-AU-0052,Tasmanian Heavy Haulage Australia,"8b Lampton Avenue, Derwent Park, TAS 7009, Australia",03 6165 2550,info@tasmanianhh.com.au,public email,https://www.tasmanianhh.com.au,"road freight, heavy haulage","highly versatile trucks, specialised trailers, B-double, skel, extendable, low loader trailers, dollies, vessel and beam trailers, tiltrays, sideloaders, pilot vehicles, real-time tracking, up to 200 tonnes capacity","Tasmania, Australia wide","Excellent fit for REALM in-line quote matching due to extensive heavy haulage equipment, multiple Tasmanian depots, and national coverage.",Australia,verified from official/trusted sources,High,https://www.tasmanianhh.com.au;https://www.tasmanianhh.com.au/contact/,Tasmanian Heavy Haulage Australia https://www.tasmanianhh.com.au
RCN-AU-0053,Team Global Express,"11 Steele Way, Melbourne Airport, Victoria, 3045, Australia",131 TGE,contact form,contact form,https://teamglobalexp.com,"road freight, rail freight, air freight, sea freight, courier, freight forwarding, express delivery","parcels, boxes, pallets, FCL, FTL, dangerous goods handling, medical goods transport, temperature-controlled distribution, international shipping, domestic shipping, same-day delivery, overnight delivery","Australia wide, New Zealand","Highly suitable for point-of-sale load matching by location, capacity, and equipment type due to extensive network and diverse service offerings.",Australia,verified from official/trusted sources,High,https://teamglobalexp.com;https://teamglobalexp.com/help-support;https://teamglobalexp.com/sales-enquiries;https://teamglobalexp.com/about-us;https://www.zoominfo.com/c/team-global-express/1313954808;https://au.linkedin.com/company/teamglobalexpress;https://www.waze.com/live-map/directions/team-global-express-melbourne-airport-steele-way-11?to=place.w.94963087.949368727.5826886;https://teamglobalexp.com/privacy-collection-notice,Team Global Express Australia freight https://teamglobalexp.com
RCN-AU-0054,Think Global Logistics Australia,"Level 2, 88 George Street The Rocks NSW 2000",+61 1800 845 845,contact form,contact form,https://tgl.co,"air freight, sea freight, domestic freight, freight forwarding, 3PL warehousing, customs brokerage, oversized cargo transport, project logistics, supply chain consultancy","IATA accredited air freight, FCL, LCL sea freight, rail, road, air, sea, intermodal domestic freight, customs clearance, e-commerce picking and packing, short and long-term storage, inventory management, repacking, specialized oversized cargo transport, project management, supply chain optimization",Australia wide (headquartered in Sydney),"Think Global Logistics Australia appears suitable for point-of-sale load matching due to its comprehensive domestic and international freight services, including various equipment types and 3PL warehousing capabilities.",Australia,verified from official/trusted sources,High,https://tgl.co;https://tgl.co/contact/,Think Global Logistics Australia https://tgl.co
RCN-AU-0055,Uniair Cargo Australia,"Unit 6 / 25 Ossary St, Mascot NSW 2020, Australia",+612-8068-5200,enquiries@uniaircargo.com.au,public email,https://www.uniaircargo.com.au,"air freight, ocean freight, interstate transport, customs clearance, warehousing","air freight, ocean freight (LCL, FCL), interstate transport, customs clearance, warehousing, consolidation services, door-to-door, pick-up options",Australia wide,"Uniair Cargo Australia appears suitable for in-line quote matching by location, capacity, and equipment type due to its diverse services and multiple Australian depots.",Australia,verified from official/trusted sources,High,https://www.uniaircargo.com.au,Uniair Cargo Australia https://www.uniaircargo.com.au
RCN-AU-0056,Westlink Logistics Australia,"Level 3, 190 St Georges Terrace Perth, WA 6000 Australia",+61 8 6117 0444,info@westlinklogistics.com,public email,https://www.westlinklogistics.com,"freight forwarding, project logistics, multimodal transport","engineered logistics, project management, heavy haulage, project cargo handling, multimodal transport solutions",Australia wide,"Suitable for project-based and specialized freight matching by location, capacity, and equipment type.",Australia,verified from official/trusted sources,High,https://www.westlinklogistics.com,Westlink Logistics Australia https://www.westlinklogistics.com
RCN-AU-0057,Xtreme Freight / Australian Worldwide Logistics,"36/1 International Drive, Westmeadows, VIC 3049",03 9310 5816,bookings@xtremefreight.com.au,public email,https://www.xtremefreight.com.au,"road freight, air freight, sea freight, 3PL, warehousing, project logistics, courier","Road transport, collection, storage, pick and pack, delivery, warehousing, inventory management, order fulfillment, distribution, taxi trucks",Australia wide,"Xtreme Freight offers a range of freight services including road, air, and sea freight, 3PL, and warehousing across major Australian cities, making them suitable for in-line quote matching by location, capacity, and equipment type.",Australia,verified from official/trusted sources,High,https://www.xtremefreight.com.au;https://www.xtremefreight.com.au/contact-us;https://www.xtremefreight.com.au/locations,Xtreme Freight / Australian Worldwide Logistics https://www.xtremefreight.com.au
